timestamp,from_me,text
2024-07-06 07:07:16,1,i need a debate tho like i need to argue about smth 
2024-07-06 07:07:32,1,ughhhhhh i hate this class so much!!! 
2024-07-06 07:11:03,0,ikr i’m quite the expert
2024-07-06 07:11:20,0,have u tried asking chat gpt for ideas
2024-07-06 07:15:09,1,u know u can’t use chat gpt here
2024-07-06 07:15:22,1,u would have to use a vpn 
2024-07-06 07:20:42,0,woah i didn’t know that
2024-07-06 07:20:49,0,is it for national security or smth
2024-07-06 07:28:22,1,yaa tiktok as well they’re banned 
2024-07-06 07:28:43,1,even random ucsd things like the mystudentchart as well 
2024-07-06 07:34:08,0,i knew abt tik tok but my chart is kinda crazy
2024-07-06 07:34:19,0,what’re ur thoughts on the chinese government
2024-07-06 07:43:05,1,all good things ☺️
2024-07-06 07:43:16,1,china is amazing i love it so much 
2024-07-06 07:43:29,0,ohh right ofc
2024-07-06 07:43:35,0,i forgot ur in the motherland
2024-07-06 07:43:44,0,but yes we love the chinese government
2024-07-06 07:43:47,0,go xi 
2024-07-06 07:54:32,1,yes u understand
2024-07-06 07:54:39,1,yes we love winnie the pooh 
2024-07-06 08:03:04,0,winnie the pooh?? 
2024-07-06 08:03:09,0,is that what u call him
2024-07-06 08:12:59,1,￼
2024-07-06 08:13:05,1,people just say he looks like him 
2024-07-06 08:17:17,0,lmfao
2024-07-06 08:17:29,0,“china has banned winnie the pooh”
2024-07-06 08:17:42,0,honestly i see the resemblance
2024-07-06 08:17:55,0,probably had xi feeling all insecure
2024-07-06 08:23:05,1,ya no it was rlly controversial for a bit 
2024-07-06 08:23:29,1,the first photo with piglet was the last chief executive of hong kong  
2024-07-06 08:30:24,0,wow the more u know
2024-07-06 08:30:30,0,i had no idea that was a thing
2024-07-06 08:30:36,0,how’s ur hw going
2024-07-06 08:35:52,1,i’m watching young sheldon with my mom rn
2024-07-06 08:35:57,1,so it’s going really well 
2024-07-06 08:42:10,0,nice that’s my favorite way to get work done
2024-07-06 08:42:16,0,we have so much in common
2024-07-06 08:48:07,1,we do have so much in common it’s crazy 
2024-07-06 08:48:22,1,ur gonna sleep soon and i’m gonna have my second nap of the day 
2024-07-06 08:55:26,0,and we both sleep too??
2024-07-06 08:55:37,0,i’ve never met someone else like that
2024-07-06 10:12:48,1,me too we’re just so unique 
2024-07-06 19:19:58,0,ikr it’s crazy
2024-07-06 19:20:04,0,how was the rest of ur day
2024-07-07 03:25:08,1,super ordinary 
2024-07-07 03:25:41,1,so ordinary i don’t even rmbr it 
2024-07-07 03:59:49,0,sounds like a great day
2024-07-07 03:59:55,0,do u wanna ft later
2024-07-07 04:12:19,1,yes of course 
2024-07-07 04:12:29,1,but i need to see bc my parents are home today
2024-07-07 04:23:11,0,what would their reaction be
2024-07-07 04:24:00,0,if u were on ft w a guy
2024-07-07 04:31:31,1,umm idk but it’s more so i don’t rlly have a door lol
2024-07-07 04:31:44,1,and they’re a bunch of nosey susans
2024-07-07 04:42:01,0,i thought it was cause they’re like traditional asian parents
2024-07-07 04:42:07,0,wait why do u not have a door tho
2024-07-07 04:42:48,0,ohh that makes more sense
2024-07-07 05:08:14,1,i do have one but it’s like a sliding door so it’s barely a door 
2024-07-07 05:08:46,1,r u free to call tmr instead 
2024-07-07 05:32:56,0,yea shore tmrw works
2024-07-07 05:33:01,0,what time roughly
2024-07-07 05:41:38,1,shore
2024-07-07 05:41:59,1,hmm anytime between me waking up till like 4 
2024-07-07 05:52:00,0,shore > sure
2024-07-07 05:52:27,0,believe or not i don’t have any plans tmrw
2024-07-07 05:52:41,0,so u can pick wtv time is most convenient for u
2024-07-07 05:52:50,0,although 4 is probably a little late
2024-07-07 06:05:34,1,no way u always have so many plans! 
2024-07-07 06:05:55,1,are u trying to sleep early now 
2024-07-07 06:15:53,0,right we’ll i’ve just had sm plans recently i decided to take the day off tmrw
2024-07-07 06:16:05,0,nah not rly still at like 2ish
2024-07-07 06:25:51,1,u know that’s so out of character for you 
2024-07-07 06:26:04,1,like ur so healthy i’d imagine u sleep at 11
2024-07-07 06:37:58,0,ig so idk i just gravitate towards sleeping later
2024-07-07 06:38:08,0,like i enjoy waking up early
2024-07-07 06:38:13,0,but i just really hate sleeping early
2024-07-07 06:59:25,1,but how do u wake up early if u don’t sleep early 
2024-07-07 07:14:30,0,i don’t wake up early
2024-07-07 07:14:35,0,cause i hate sleeping early
2024-07-07 07:14:54,0,i just meant that the reason i sleep late is not cause i’m not a morning person
2024-07-07 07:15:02,0,i just don’t like sleeping early
2024-07-07 07:15:19,0,also i think a big part of it that i have trouble falling asleep
2024-07-07 07:23:20,1,so ur a morning and night person 
2024-07-07 07:23:37,1,r u just thinking a lot is that why u can’t sleep 
2024-07-07 07:29:52,0,yea i think both have lots of redeeming qualities
2024-07-07 07:29:58,0,mm that’s probably part of it
2024-07-07 07:30:16,0,but i’m sure some of it is genetic
2024-07-07 07:30:34,0,are u a morning or night person
2024-07-07 07:34:13,1,ur genetically hard to fall asleep? 
2024-07-07 07:34:22,1,i am none 
2024-07-07 07:34:44,1,more like a thrive in the afternoon after a good nap 
2024-07-07 07:34:56,1,i’ve never known anyone that’s both tho that’s kinda crazy 
2024-07-07 07:42:30,0,ya i wouldn’t be surprised if my difficulty falling asleep is somewhat determined by my genes
2024-07-07 07:42:49,0,ah yes the nap is essential that’s when the day starts
2024-07-07 07:43:02,0,rly i feel like it’s not that uncommon
2024-07-07 07:43:08,0,they’re both so peaceful
2024-07-07 07:47:42,1,i’ve never heard of that 
2024-07-07 07:48:11,1,no i feel like ur either a night or morning person like u can’t be both can u
2024-07-07 07:48:16,1,that’s just too overpowered 
2024-07-07 07:50:50,0,i don’t think it’s a documented thing
2024-07-07 07:51:00,0,but i feel like it can’t be totally environmental
2024-07-07 07:51:46,0,mm it would be pretty overpowered except you can’t get a full morning and night unless u don’t sleep
2024-07-07 08:01:51,1,hmm that’s true ig my mom has a really hard time falling asleep too but i feel like it’s stress
2024-07-07 08:02:30,1,true have u ever pulled all nighters 
2024-07-07 08:08:18,0,yea i used to in hs but i haven’t since then
2024-07-07 08:08:35,0,they’re kinda fun until u start to see the sun rise
2024-07-07 08:08:38,0,hbu
2024-07-07 08:15:23,1,ya my second year first two quarters me and my friends would pull all nighters like consecutively at the library 
2024-07-07 08:15:46,1,it was so crazy i can’t comprehend how that was possible 
2024-07-07 08:15:57,1,i don’t think i could do that again
2024-07-07 08:19:37,0,oh my god that sounds terrible
2024-07-07 08:19:46,0,i never understood how ppl could pull all nighters for school
2024-07-07 08:19:55,0,i act just give up at a certain point and go to bed
2024-07-07 08:20:17,0,was this for 100a or 140a
2024-07-07 08:23:15,1,see that’s me rn but me last year was like no i have the whole night to study
2024-07-07 08:23:36,1,the worst part was this wasn’t even for any hard classes 
2024-07-07 08:24:17,1,this was for random like 102 109 184 classes i think but there was no need to study so much
2024-07-07 08:29:23,0,ok well at least they aren’t super easy classes
2024-07-07 08:29:31,0,i’m sure u made some good memories studying w ur friends
2024-07-07 08:29:46,0,and probably lost a little bit of sanity too
2024-07-07 08:38:02,1,oh ya honestly that’s where i made two of my best friends :( but they graduated this year 
2024-07-07 08:38:17,1,sanity was definitely lost 
2024-07-07 08:54:24,0,yea there’s no better way to bond than all nighters
2024-07-07 08:54:37,0,at least ur basically done w college at this point too
2024-07-07 09:03:57,1,ya but idk i feel like it’s even scarier now then like i have no idea where i’m gonna be in 2 years 
2024-07-07 09:09:19,0,i think abt that sometimes
2024-07-07 09:09:33,0,college is such an uncertain time
2024-07-07 09:09:43,0,which is exciting but also scary
2024-07-07 09:09:54,0,did u say u wanted to do grad school?
2024-07-07 09:13:22,1,i’m still not sure  
2024-07-07 09:13:36,1,but if i was to go to grad school i’d have to apply by the end of this year 
2024-07-07 09:13:45,1,and i’m not ready to do all that 
2024-07-07 09:18:22,0,that’s fair
2024-07-07 09:18:36,0,post college plans are v daunting
2024-07-07 09:19:13,0,i still feel like i haven’t had enough time to figure out what i want 
2024-07-07 09:27:25,1,ya and idk i think i just associate myself with being a student i can’t imagine myself just working 
2024-07-07 17:29:18,0,what would u wanna do if u work after graduating
2024-07-08 02:55:24,1,hell if i know 
2024-07-08 03:13:41,0,no way me too
2024-07-08 03:22:02,1,wow again just such commonality 
2024-07-08 03:44:46,0,ikr were probably like the only two people ever that dk what to do after college
2024-07-08 04:03:27,1,well it does seem so everyone around me has some sort of path 
2024-07-08 04:15:15,0,ig so
2024-07-08 04:15:22,0,some ppl just need more time to figure it out
2024-07-08 04:15:55,0,who knows maybe doing research in japan will lead to a newfound passion
2024-07-08 04:33:40,1,hopefully 
2024-07-08 04:33:50,1,r u free in an hour 
2024-07-08 04:51:24,0,lemme check my schedule
2024-07-08 04:51:29,0,i’m v busy these days
2024-07-08 04:51:45,0,ok great looks like i’ll be free
2024-07-08 05:08:11,1,wow thank you for clearing ur schedule 
2024-07-08 05:08:26,1,greatly appreciated i’ll send out the zoom link soon 
2024-07-08 05:27:07,0,"perfect, looking forward to our meeting!"
2024-07-08 05:36:55,1,sorry give me like 20 minutes i need to finish this paragraph 
2024-07-08 08:06:00,1,￼
2024-07-08 08:38:43,0,￼
2024-07-08 08:44:58,0,good luck w ur adventures today + hw and packing
2024-07-08 08:45:23,0,make sure to work on ur hw while getting ur nails done
2024-07-08 08:45:53,1,thank you will definitely be doing that 
2024-07-08 08:46:02,1,good luck falling asleep 
2024-07-08 08:50:41,0,ty i’ll definitely need it
2024-07-08 08:53:55,1,i am about 45 minutes late 
2024-07-08 08:54:25,0,yes but didn’t u have so much fun talking to me
2024-07-08 08:55:16,1,well ur right 
2024-07-08 08:55:43,1,omg i didn’t even say what i wanted to say 
2024-07-08 08:55:50,1,i was gonna say it’s ur birthday soon 
2024-07-08 08:56:42,0,yes it is my birthday soon
2024-07-08 08:56:53,0,and sadly my only friend is leaving the day before
2024-07-08 08:57:02,0,so i’ll my spend my 21st by myself
2024-07-08 08:58:11,1,omg noooo
2024-07-08 08:58:25,1,go find another friend
2024-07-08 08:58:34,1,u have a good 3 days u can do it 
2024-07-08 09:00:53,0,nahh seems unlikely
2024-07-08 09:01:00,0,it’s ok i’ll have a good birthday by myself
2024-07-08 09:06:56,1,aw yeah you have fun by yourself all the time 
2024-07-08 09:22:39,1,i’m always jealous of people that have birthdays during the summer
2024-07-08 09:22:57,1,mine are always spent at school or in an exam 
2024-07-08 09:23:06,0,ya honestly maybe it’d be better if i had a friend
2024-07-08 09:23:18,0,but it’s a new experience
2024-07-08 09:23:28,0,that i probably won’t have again for a while
2024-07-08 09:35:18,0,i always felt bad for ppl that had school year birthdays growing up
2024-07-08 09:36:37,1,no it is tragic
2024-07-08 09:36:42,1,how do u normally spend ur birthdays 
2024-07-08 09:36:45,0,for some reason i thought it was so tragic that they didn’t know what a summer birthday felt like
2024-07-08 17:47:58,0,usually just dinner w friends or family
2024-07-08 17:48:00,0,wbu
2024-07-09 02:53:49,1,ya me too dinner with family hangout with friends during the day
2024-07-09 02:54:08,1,￼
2024-07-09 02:54:36,1,i acrually don’t know what to do i need to speed run all my assignments rn 
2024-07-09 03:20:53,0,uh oh
2024-07-09 03:21:08,0,are u gonna have to do it on the plane
2024-07-09 03:21:32,0,wait i’m kinda surprised they won’t give an extension
2024-07-09 04:33:23,1,i’m trying to finish it right now 🥲🥲
2024-07-09 04:33:32,1,i know why are they so horrible 
2024-07-09 05:25:41,0,it’s rly shouldn’t be that serious it’s a summer writing class
2024-07-09 05:53:07,1,exactly 
2024-07-09 05:53:22,1,i’m using ur method and just watching the lectures bc i simply do not have time to write notes 
2024-07-09 06:05:15,0,it’ll work
2024-07-09 06:05:18,0,i swear by it
2024-07-09 06:05:35,0,how’s the packing going
2024-07-09 06:25:14,1,multitasking writing essay and packing is fairly difficult 
2024-07-09 06:25:59,1,also why were victorians so dumb like how could they not have put two and two together if ur sick from drinking the water there must be something in the water dumbass! 
2024-07-09 06:43:37,0,idk why that seems like smth you’d be good at
2024-07-09 06:44:07,0,that’s absurd that there was a time where people were that naive
2024-07-09 07:03:15,1,idk why everytime i pack it’s always so stressful 
2024-07-09 07:03:32,1,u know what i guess it’s bc they didn’t have education that’s why there were so dumb 
2024-07-09 07:29:23,0,well part of it might be bc ur flight is in a few hours
2024-07-09 07:29:37,0,yea like imagine growing up ur whole life without learning anything 
2024-07-09 07:29:45,0,id probably be as dumb as a rock
2024-07-09 07:48:12,1,i gave up i’m done  
2024-07-09 07:49:15,1,ya idk i feel like i’d be curious and go for an adventure and accidentally die 
2024-07-09 07:50:04,1,are ur parents racist too bc i told my mom we would be laying over in turkey and she asked me if it would be safe 
2024-07-09 08:30:04,0,ya my dad once said that michael jordan is one of the smart ones
2024-07-09 08:30:33,0,that’s kinda crazy that ur mom doesn’t know the flight plan
2024-07-09 09:07:58,1,oh that’s great 
2024-07-09 09:08:13,1,ya i don’t rlly think she knows where we’re going tbh
2024-07-09 09:11:23,0,is this normally how ur trips go
2024-07-09 09:22:30,1,no
2024-07-09 09:22:56,1,we rarely go to europe we always just go to japan and we go to the same places 
2024-07-09 09:26:59,0,what prompted yg to do a europe trip
2024-07-09 09:32:21,1,my mom rlly wanted to go to sweden 
2024-07-09 09:33:12,1,well it was the scandinavias but we’re not going to finland or norway so it’s not rlly a scandinavia trip is it 
2024-07-09 09:39:00,0,that’s alr it seems like she won’t even know where ur going until it’s too late
2024-07-09 09:45:07,1,that’s true
2024-07-09 09:45:27,1,maybe procrastination is genetics too
2024-07-09 09:45:54,1,because my whole family is not packed we’re suppose to leave in an hour 
2024-07-09 09:52:25,0,oh that’s not stressful at all
2024-07-09 09:52:33,0,are u not freaking out
2024-07-09 09:54:44,1,oh i’m so chilled 
2024-07-09 09:55:01,1,hands are not shaking at all 
2024-07-09 09:56:32,0,that’s great i’m glad ur keeping ur composure
2024-07-09 09:57:53,1,i am so calm and collected 
2024-07-09 10:00:18,0,i can tell it’s v impressive
2024-07-09 16:03:51,0,oh ty it was a standard day
2024-07-09 16:03:54,0,no complaints
2024-07-09 16:04:21,0,how was ur flight
2024-07-10 01:59:18,1,it was very nice 
2024-07-10 01:59:35,1,in turkey right now everyone here is so rich 
2024-07-10 02:22:48,0,nice what’d u do on the flight
2024-07-10 02:23:00,0,rly is turkey a wealthy country?
2024-07-10 02:36:58,1,yes i think so it’s like dubai no
2024-07-10 02:37:26,1,i slept so much played a lot of sudoku watched a single episode of avatar and did my hw 
2024-07-11 04:27:37,1,someone’s turning 21 in 3 hours!! 
2024-07-11 04:58:58,0,ahh yea v exciting
2024-07-11 04:59:07,0,it’ll def be an interesting 21st
2024-07-11 05:12:40,1,what r u going to do tmr 
2024-07-11 05:13:02,1,u should go get alcohol just bc u can 
2024-07-11 05:28:06,0,mm i’m think ima go to balboa park and get dinner after
2024-07-11 05:28:20,0,yea i’m prolly gonna buy either alc or weed
2024-07-11 05:28:42,0,i don’t even wanna get intoxicated i just wanna do it for the novelty
2024-07-11 06:07:47,1,that sounds nice 
2024-07-11 06:07:58,1,yes buy both why not 
2024-07-11 06:08:19,1,what’s something else u can do when ur 21 
2024-07-11 06:17:45,0,who knows maybe i’ll buy both
2024-07-11 06:17:59,0,gambling clubs and bars
2024-07-11 06:18:06,0,that’s abt it i think
2024-07-11 06:18:14,0,what are yg doing today
2024-07-11 06:49:02,1,oo gambling👀
2024-07-11 06:49:31,1,i just finished my mmw hw wow what an adrenaline rush 
2024-07-11 06:57:01,0,yea but gamblings not exciting i alr do that
2024-07-11 06:57:13,0,right ofc mmw is so thrilling
2024-07-11 06:57:18,0,did u have to speed run it
2024-07-11 06:58:36,1,oh right so u were gambling illegally back then
2024-07-11 06:59:00,1,unfortunately the over achiever in me could not speed run it i spent way too much time on it 
2024-07-11 07:00:47,1,happy happy birthday andrew!!!!! 
2024-07-11 07:03:22,1,hope u have the best day ever tmr even if by urself and may all ur dreams come true ☺️
2024-07-11 07:03:29,1,i’m sorry i don’t know what to say 
2024-07-11 07:03:51,0,haha tyty
2024-07-11 07:03:56,0,it’s ok that was very encouraging
2024-07-11 07:04:20,0,i appreciate the birthday wishes
2024-07-11 07:04:38,0,nah there’s a loophole to make it legal at 18 
2024-07-11 07:05:16,0,how early did u have to wake up to work on it??
2024-07-11 07:39:25,1,oh wow u don’t need the loophole anymore then
2024-07-11 07:40:01,1,i woke up at 6am to do the hw but i slept at 10 last night lol so i was well rested
2024-07-11 07:55:35,0,wow truly an academic weapon
2024-07-11 07:55:42,0,grinding while everyone else is asleep
2024-07-11 08:00:13,1,right 
2024-07-11 08:00:42,1,i was doing my hw at breakfast like a true asian 
2024-07-11 08:01:04,1,reading adam smith and karl marx 
2024-07-11 08:03:01,0,adam smith and marx at family breakfast in europe is crazy
2024-07-11 08:05:51,1,i don’t even know who adam smith was
2024-07-11 08:06:02,1,i just know he likes division of labour
2024-07-11 08:08:58,0,i mean that makes sense he’s only rly important to american history
2024-07-11 08:09:16,0,?
2024-07-11 08:36:47,0,oh nice
2024-07-11 08:36:58,0,yea it looks like a cute little town
2024-07-11 08:37:07,0,very european looking
2024-07-11 08:49:40,1,yes almost like it’s in europe 
2024-07-11 08:49:50,1,￼it’s so pretty 
2024-07-11 18:56:51,0,oh yea i forgot ur in europe
2024-07-11 18:56:57,0,it is v pretty
2024-07-11 18:57:02,0,what’d u do there
2024-07-11 19:41:23,1,good morning birthday boy 
2024-07-11 19:41:34,1,or afternoon 
2024-07-11 19:42:05,1,we just walked around we ate fish bc it was a fishing city but the fish was not good 
2024-07-11 19:43:50,0,good morning
2024-07-11 19:44:06,0,might as well be morning for me i work up at 11:30
2024-07-11 19:44:21,0,that’s disappointing
2024-07-11 19:44:26,0,sounds like a pleasant day tho
2024-07-11 19:46:46,1,good morning then 
2024-07-11 19:47:06,1,it was really nice we went to the windmills and went on a boat through the canal
2024-07-11 19:47:19,1,but it’s not even 10 and i feel the need to knock out 
2024-07-11 19:48:53,0,yea makes sense ur probably still on hk time
2024-07-11 19:49:01,0,and you’ve been up since 6
2024-07-11 19:51:24,1,hmm that’s true but i’ve taken a few mini naps everytime we were on the bus 
2024-07-11 19:51:39,1,u know the sun sets here at 10 so it’s still bright out 
2024-07-11 19:54:51,0,rly seattle is kinda like that too in the summer
2024-07-11 19:55:01,0,that must be so odd sleeping when it’s still bright out
2024-07-11 20:05:56,1,wow rlly 
2024-07-11 20:06:40,1,this family in front of us in the canal tour was from seattle was tempted to go up to them and ask if they knew u 
2024-07-11 20:12:51,0,laughed at “this family in front of us in the canal tour was f…”
2024-07-11 20:13:00,0,wow that’s hilarious i’m sure they would’ve known me
2024-07-11 20:13:07,0,i’m quite famous where i come from
2024-07-11 20:20:57,1,right ur the talk of the town 
2024-07-11 20:21:18,1,in my mind seattle is a small village 
2024-07-11 20:29:16,0,yea i’m like the nathan fang of seattle
2024-07-11 20:29:33,0,no it definitely is just a bunch of people living in little huts 
2024-07-11 20:30:00,0,like all the ppl that work at amazon and microsoft come home from work to their shacks
2024-07-12 05:30:16,1,why does this guy always come up in our convos 
2024-07-12 05:30:44,1,oh ya right and they have to get water from the wells 
2024-07-12 05:44:33,0,idk i think i’m just a fanboy tbh
2024-07-12 05:45:12,0,yea exactly it’s a very primitive part of the world
2024-07-12 06:17:18,1,ur such a big fan 
2024-07-12 06:17:31,1,i’m on a run with my dad but i’ve lost him somehow 
2024-07-12 06:31:22,0,oh that’s great how’d that happen
2024-07-12 07:26:53,1,i thought he was running behind me but he was not
2024-07-12 07:27:32,1,had such a good run tho there were no hills and the weather was chilly so i wasn’t sweating i felt like forest gump 
2024-07-12 17:38:09,0,that’s nice what a great start to the day
2024-07-12 17:38:15,0,how was the rest of ur day
2024-07-12 17:48:15,1,it was nice we went to the van gogh musuem and walked around 
2024-07-12 17:48:44,1,at a chinese restaurant rn bc my parents don’t like european food 
2024-07-12 17:48:52,1,how was ur day yesterday
2024-07-12 17:53:39,0,ooh that one looks cool how was it
2024-07-12 17:53:51,0,right ofc is the food good
2024-07-12 17:54:38,0,"it was solid, spent most of my time in balboa park at the japanese friendship garden and then got dinner at a japanese diner after"
2024-07-12 17:59:03,1,it was really cool he has such a sad life 
2024-07-12 17:59:46,1,aw that sounds rlly nice i’ve never been to the japanese friendship garden what’s in it
2024-07-12 18:00:13,1,the chinese food is good it’s a floating restaurant on the canal 
2024-07-12 18:06:26,0,mostly just trees rocks and streams 
2024-07-12 18:06:33,0,it was nice and peaceful
2024-07-12 18:06:45,0,that’s cool
2024-07-12 18:07:02,0,have yg been eating mostly chinese food or is this the first time
2024-07-12 18:12:17,1,mm yes seems like something you’d enjoy 
2024-07-12 18:13:25,1,"we had indonesian food, 2 asian fusion restaurants and one italian "
2024-07-12 18:14:16,1,oh the only dutch food we had was the fish restaurant 
2024-07-12 18:20:38,0,ya it was a cool experience
2024-07-12 18:20:45,0,i got crossed last night too
2024-07-12 18:20:56,0,wow u weren’t lying when u said ur parents don’t like european
2024-07-12 18:31:49,1,oh my god how was that 
2024-07-12 18:31:57,1,so u did get both 
2024-07-12 18:46:21,0,just weed
2024-07-12 18:46:33,0,we had some tequila in the apartment 
2024-07-12 18:46:43,0,it was interesting i got rly emotional lol
2024-07-12 19:05:53,1,omg 
2024-07-12 19:06:02,1,like a good kind of emotional or a bad kind
2024-07-12 19:12:23,0,good kind
2024-07-12 19:12:38,0,like nostalgia and sentimental kind of emotional
2024-07-12 19:18:19,1,oh ok that’s good 
2024-07-12 19:18:38,1,i’ve never been crossed do u just feel drunk 
2024-07-12 19:18:47,1,and slow 
2024-07-12 19:24:30,0,mm im not rly sure how to describe it
2024-07-12 19:24:51,0,it’s kinda like being drunk but rly relaxed
2024-07-12 19:25:05,0,it was a good reminder why i don’t drink tho
2024-07-12 19:25:09,0,alcohol is gross
2024-07-12 19:44:40,1,that doesn’t sound appealing 
2024-07-12 19:45:04,1,ya it is especially tequila 
2024-07-12 19:54:53,0,i think it’s p fun but it’s def not for everyone
2024-07-12 19:54:59,0,how long are u in the netherlands for
2024-07-12 20:06:05,1,oh we’re leaving tmr gonna drive to germany 
2024-07-12 20:34:45,0,that was quick
2024-07-12 20:34:54,0,are u gonna get to drive on the autobahn
2024-07-13 06:33:45,1,the auto what
2024-07-13 06:53:10,0,the german highway w no speed limit
2024-07-13 07:08:17,1,oh wow 
2024-07-13 07:08:25,1,i’m not sure let me check
2024-07-13 07:08:38,1,i had this crazy dream where i was driving to la and i kept crashing 
2024-07-13 07:18:43,0,what a fun dream
2024-07-13 07:18:49,0,were u freaking out
2024-07-13 07:27:04,1,i was i think i was stole my dads car too so i was scared i think i was driving to disneyland with my roommate or smth 
2024-07-13 07:40:15,0,wow gta megan
2024-07-13 07:40:27,0,do u ever have scary dreams that repeat
2024-07-13 07:40:31,0,like recurring dreams
2024-07-13 07:51:14,1,emphasised “wow gta megan”
2024-07-13 07:51:25,1,yaa i used to have so many recurring dreams of me getting kidnapped
2024-07-13 07:51:32,1,did u 
2024-07-13 07:58:26,0,oh god that’s terrible
2024-07-13 07:58:32,0,i did but nothing that bad
2024-07-13 07:58:45,0,i would just get lost at school and i couldn’t figure out where i was going
2024-07-13 07:58:59,0,which doesn’t sound that bad but i got rly stressed out
2024-07-13 08:05:41,1,oh ahah that’s kinda funny 
2024-07-13 08:06:11,1,were u also late to class or u were just lost 
2024-07-13 08:11:18,0,oh yea i was extremely late the halls were empty
2024-07-13 08:11:33,0,so it was just the schools security guard judging me as i walked ard
2024-07-13 08:21:06,1,oh u mean high school
2024-07-13 08:27:27,0,yea even now when i dream abt it it’s still hs
2024-07-13 08:27:41,0,do u ever think abt the fact that we’re in our 20’s
2024-07-13 08:31:51,1,wow that’s crazy 
2024-07-13 08:32:10,1,i’m just 20 ur in ur 20s 
2024-07-13 08:32:52,1,it’s kinda crazy we’re not in our teenage years tho 
2024-07-13 08:36:56,0,ok 20 still counts as 20’s
2024-07-13 08:37:01,0,but yea it is crazy
2024-07-13 08:37:12,0,like we’re becoming real people and not children
2024-07-13 08:37:20,0,that’s so odd to me for some reason
2024-07-13 08:41:25,1,idk i feel like 20 i can still chill and live life when ur 21 it gets more serious 
